78,79,379084
241,126,941084
1200,1878,3660833
59383,46827,60583625
778807,704367,5728583
670591,755185,14838375
234986,465190,3488250
292193,68854,228369125
994367,1345093,8830041
708402,1209686,9469459
264629,30445,111123666
432245,732899,7679458
326014,143557,255856416
256777,294898,4480875
409008,201433,8690041
88991,126186,1595375
141931,131822,555583
318548,154343,1363708
792450,852331,2259375
928280,734282,781791
594449,2684,121556125
448899,327377,1984875
425290,510325,573917
162126,31418,37067625
978391,1255764,2872875
664452,198250,273517083
362184,488998,4905917
18000,6235,4968917
748907,1400362,1612625
235470,341713,994291
295284,242876,2054042
772893,1408190,1362458
62078,109141,837292
36959,61502,750666
70584,128027,1038542
652900,1230058,2909917
951562,1301470,3632375
384450,133945,194230583
865693,843295,8403125
149145,46853,58910000
504571,756386,116153417
530243,969596,2056417
17335,34033,782458
550791,216801,160671583
650459,325445,25849667
245890,490069,1949542
736841,773755,2658792
745944,1270025,2104917
425196,822180,2498667
166712,88863,1015083
201932,59172,49088875
591218,1124295,3533459
825023,437384,2264084
824104,974861,2563417
763062,1023821,2862000
400742,464708,1345917
612551,442689,3542541
541449,474412,5674584
252597,353203,1159875
355405,494408,2257209
688603,375626,4527166
619375,762441,2792584
635135,874841,2571084
883094,855486,2422584
893069,169233,477647333
486183,135977,138450916
487218,391928,3423709
310736,22810,121288458
348053,349052,1428625
739191,632823,1875167
44741,21937,155724125
338902,117616,112489375
706612,865862,5475834
252793,140223,3470375
806326,421603,2278625
139765,141410,2047000
920337,1146595,10168917
779014,526374,2014917
930950,1501338,4528042
129192,15437,16818167
389093,650500,1910875
716336,50322,181296791
918101,306367,468927709
713754,68617,164428042
606166,260,155239917
972579,291496,365409333
308748,400315,3611625
563423,701166,2868208
662128,118716,195997667
97619,99866,9432291
395410,709637,2570000
210752,288647,1262708
220672,407604,4934292
111723,114660,1016750
179588,172630,1177792
27318,5222,5977375
829726,449965,2957291
705288,570404,4448667
64873,128253,2375375
878191,1498644,4932834
681107,455896,2707208
735749,837954,3518750
23973,8802,5760541
5240,882,1325542
182005,275084,2367500
197460,97786,94520625
227968,439378,6230292
940026,1731539,6011041
951577,1026502,7317166
90314,72715,5721917
376071,119026,198860791
497091,598891,15571125
105935,114572,1716292
862881,1205226,7553542
214156,183516,2074167
148400,111781,1835250
944803,771569,2507292
355860,561170,2393875
980365,1548987,4465709
329742,26715,177111791
403127,103572,167544709
421613,316329,3321208
766046,809339,3002833
479842,188132,213192375
880922,997605,2612416
645564,963539,5397625
30328,31872,728042
862999,960614,4280625
314635,406718,3635792
845256,1262034,2535875
756591,407490,6231500
475995,842201,2825959
603307,83476,280402792
272826,212779,4363083
989135,123594,281666167
590094,464752,5651542
752805,1063555,3779791
696702,795545,3793708
738309,299537,499467958
728875,1013715,7971750
351428,49463,214476333
788287,915692,5050875
492399,151231,270666250
132714,165639,1446625
240141,241311,3072583
489417,378649,2224583
824541,1604191,4774542
10666,11139,1518250
490741,956000,2557833
286378,504471,5232084
832949,870496,4136083
130556,213274,775750
55217,71299,1157666
566255,627469,3491834
402738,182255,175474875
548038,1062862,9500916
699607,808322,4954959
481401,295070,2073625
527625,416238,3701292
525415,140853,290335708
85608,40823,6410792
997806,689768,3478917
179780,139498,2417667
941002,185199,468100084
113244,159151,2893000
53141,40814,1054875
466121,129389,125483792
739805,519347,5109666
887858,1219387,3481709
271,320,875916
59325,94601,2337709
226300,156499,1798417
924711,1503558,5783209
762005,7157,292213459
141843,149233,3904541
250106,151329,2458125
454479,681901,2563416
372872,274157,2412417
351192,498117,3409417
585312,144046,185949459
942918,230530,368754875
833701,969300,5833958
464812,90565,190659167
54253,27704,3114000
187981,124550,1842083
454791,226394,4774292
812770,1069296,5457458
196513,231038,1873042
607676,837617,4525791
113442,1236,12508166
656586,194237,294612958
533939,753898,3357167
581932,584168,2665958
101641,121086,2408791
22465,30732,1462500
732443,135611,325876166
961770,2522,229363583
489678,886626,2876875
727223,1196553,6287750
211370,44261,233549375
109048,58663,4260125
181468,146559,7857916
585174,1083285,4680209
1225,1981,1079792
80067,87544,2164250
87372,123125,1248666
34272,56662,1608250
900532,8897,236545167
816320,943351,3007542
90286,36231,3853917
669788,95510,188768667
232601,12203,33052792
455659,796785,4263375
730792,1435218,6025334
423791,209734,12184709
753002,208891,339153750
127168,13750,15585916
787139,774846,3575875
378734,134525,84937542
508506,641124,2992958
843025,1083327,2490042
175846,222028,1747917
453405,899118,3634833
698289,1281638,4514375
350623,689940,2907208
848699,443815,3593958
449542,313984,2149958
838173,422827,4168292
58242,18143,12222000
611938,395258,2322583
197384,131724,1671208
778694,1339709,1848750
397549,25634,110241166
43393,1514,10468125
788442,1234232,4056916
377765,450544,3829042
236210,420294,2305208
933369,1428830,5649500
133766,21351,27645166
878722,780125,4904750
203888,81438,132395792
925059,1655524,6792958
335999,452414,3153875
294544,261469,1354709
44919,45314,808333
280253,150278,2856375
613496,1034272,4934500
349006,617098,3169500
360940,373501,3122875
946141,576264,7463583
764775,741681,3487333
775569,1289608,12950792
356746,603814,3306041
348978,73140,89776875
411611,767639,2476584
24774,16755,1062084
452675,887434,2740208
590404,749953,2324542
509020,85601,230241000
680922,1233291,2463416
876778,767402,5690166
972188,345591,526347334
860443,614212,6073834
138839,9894,19020375
600075,262099,329757125
25190,25431,1909166
626397,295942,3176084
341470,651271,5158083
228171,435804,2046292
468306,452169,6193375
64866,57029,1851750
629130,1049124,3855875
712506,580470,4759500
773200,99544,303883125
991741,1915713,10638833
1154,252,2180250
994539,389089,532929417
260578,456022,2220042
699560,766635,4615291
340748,476672,2191333
946124,1732822,23281125
903809,1538068,6112709
322846,180649,2775333
403816,189977,199238834
219376,14097,86481042
265656,337645,4327334
888321,774357,3723125
622550,767317,2196750
869307,333675,348491625
243912,337606,2943125
538279,811584,4449291
24549,23583,1770833
862503,1475980,3751958
551710,373406,3689000
665391,930826,3717000
818271,683944,4981875
835130,648876,3401209
108302,35000,29713333
947236,914511,5161709
445580,12192,173132458
713555,9956,221231084
766071,795659,3170125
518826,877940,3860000
152177,14312,22651792
60854,27425,18694834
49576,8433,9360917
771419,1377607,5843500
